time_s,ax,ay,az,gx,gy,gz,mx,my,mz
0.001002,0.957195,0.584956,10.089440,0.061035,0.122070,0.000000,-4.246405,-9.325347,-73.082170
0.021748,1.009365,0.580439,9.933067,-0.061035,0.122070,-0.183105,-2.377593,-9.786535,-71.704081
0.042242,1.016169,0.618834,9.822020,-0.183105,-0.305176,-0.061035,-4.947210,-7.711190,-72.393126
0.062224,1.009365,0.634643,9.726837,-0.061035,-0.183105,-0.061035,-3.545601,-9.094753,-71.015037
0.082434,0.961732,0.591732,9.880943,0.000000,0.183105,0.061035,-3.545601,-9.555941,-72.393126
0.102557,1.016169,0.569146,9.837884,0.183105,1.037598,-0.061035,-1.443187,-9.786535,-72.622807
0.121637,0.984414,0.571405,9.776695,0.366211,1.281738,-0.122070,-0.975984,-9.325347,-72.622807
0.141545,0.959463,0.566888,9.862813,0.000000,0.183105,0.000000,-3.311999,-7.941784,-75.838348
0.160468,1.002560,0.621092,9.778961,0.000000,-0.244141,0.000000,-4.480007,-7.711190,-72.852489
0.179105,1.013901,0.578181,9.817487,0.122070,0.061035,-0.061035,-1.676788,-8.633566,-70.555674
0.198376,1.007096,0.616575,9.767630,0.122070,-0.793457,-0.122070,-2.844796,-10.247723,-72.622807
0.217826,0.991219,0.584956,9.797091,-0.183105,-1.403809,-0.122070,-1.910390,-10.708911,-71.244718
0.237169,1.016169,0.553337,9.742701,-0.671387,-2.136230,-0.122070,-1.676788,-9.094753,-71.015037
0.257572,1.009365,0.560112,9.840150,-0.183105,-0.976562,-0.122070,-4.480007,-9.094753,-72.393126
0.277164,1.045656,0.551078,9.826553,-0.122070,-0.122070,-0.244141,-3.779202,-9.786535,-71.704081
0.297135,0.964000,0.593990,9.744967,-0.488281,-0.793457,-0.061035,-2.377593,-9.325347,-71.244718
0.315828,1.022974,0.573664,9.783493,-0.122070,-0.244141,-0.061035,-3.311999,-9.325347,-73.082170
0.334838,1.032047,0.528493,9.801624,-0.122070,-0.183105,-0.061035,-3.779202,-7.941784,-72.163444
0.355567,1.013901,0.566888,9.801624,-0.122070,-0.061035,0.061035,-3.311999,-8.864160,-72.622807
0.375527,1.025242,0.584956,9.806156,-0.122070,0.183105,-0.061035,-1.443187,-9.325347,-70.785355
0.396414,1.056997,0.580439,9.794825,0.244141,1.342773,-0.061035,-3.078397,-10.478317,-72.393126
0.415820,0.986682,0.575922,9.826553,0.183105,1.342773,-0.061035,-3.779202,-9.786535,-72.622807
0.435528,0.984414,0.589473,9.794825,0.122070,0.427246,0.061035,-0.975984,-7.941784,-72.622807
0.455359,0.991219,0.551078,9.783493,0.183105,0.244141,-0.122070,-1.676788,-9.094753,-71.474400
0.475416,1.004828,0.575922,9.763097,0.061035,0.671387,-0.183105,-0.975984,-7.480596,-74.460259
0.495831,1.011633,0.605283,9.781227,-0.061035,0.122070,-0.061035,-2.143991,-9.555941,-70.555674
0.516202,1.018437,0.600766,9.806156,-0.183105,-0.732422,0.000000,-0.975984,-9.325347,-72.163444
0.536358,0.993487,0.605283,9.815221,-0.305176,-0.610352,0.061035,0.192024,-8.633566,-72.852489
0.556621,1.011633,0.553337,9.776695,0.000000,-0.488281,0.000000,-2.844796,-8.864160,-73.082170
0.576568,0.998023,0.598507,9.781227,-0.366211,-1.037598,-0.061035,-1.443187,-8.402972,-72.163444
0.596948,1.043388,0.616575,9.876411,-0.366211,-1.098633,-0.183105,-1.676788,-9.094753,-71.474400
0.616939,1.022974,0.575922,9.799357,-0.244141,-0.976562,0.000000,-1.910390,-8.864160,-71.704081
0.636883,1.020706,0.573664,9.808422,-0.488281,-1.281738,-0.122070,-2.844796,-8.402972,-71.704081
0.656773,1.013901,0.560112,9.840150,-0.488281,-1.953125,0.000000,-2.844796,-9.786535,-70.785355
0.676320,1.032047,0.564629,9.831085,-0.488281,-1.831055,-0.244141,-4.713608,-9.325347,-71.244718
0.696134,1.056997,0.591732,9.826553,-0.549316,-2.136230,0.000000,-2.844796,-10.247723,-72.622807
0.715764,1.063802,0.587215,9.849215,-0.244141,-1.281738,0.000000,-2.611194,-8.633566,-72.852489
0.735339,1.041120,0.571405,9.810689,-0.061035,-0.671387,-0.122070,-3.545601,-7.250002,-73.311852
0.755072,1.075143,0.564629,9.778961,0.000000,-0.305176,-0.061035,-2.377593,-8.402972,-70.785355
0.774943,1.032047,0.584956,9.828819,-0.366211,-0.671387,-0.183105,-1.910390,-7.019408,-71.244718
0.795214,1.029779,0.555595,9.792559,0.061035,0.488281,-0.183105,-4.012804,-7.711190,-73.311852
0.815186,1.063802,0.555595,9.758564,-0.061035,0.427246,-0.061035,-1.910390,-7.941784,-73.082170
0.835099,1.034315,0.537527,9.772162,0.061035,-0.122070,-0.061035,-3.545601,-6.788814,-71.015037
0.855033,1.013901,0.564629,9.819754,-0.488281,-1.953125,-0.305176,-0.508781,-8.864160,-73.082170
0.875177,1.036583,0.580439,9.792559,-0.793457,-2.624512,0.000000,-2.844796,-8.864160,-73.082170
0.894744,1.075143,0.553337,9.822020,-2.075195,-9.826660,0.000000,-3.545601,-7.711190,-73.311852
0.914969,1.238456,0.562371,9.851482,-0.366211,-2.685547,-0.061035,-3.078397,-8.633566,-70.555674
0.935195,1.059266,0.548820,9.763097,-0.488281,-2.868652,-0.183105,-2.844796,-9.325347,-71.704081
0.954673,1.093289,0.526235,9.835618,-1.098633,-4.699707,-0.122070,-2.377593,-8.864160,-72.622807
0.974834,1.168141,0.508166,9.862813,-0.854492,-4.333496,0.061035,-2.611194,-6.327627,-71.933763
0.995160,1.022974,0.573664,9.629387,-1.708984,-8.178711,-0.061035,-4.947210,-10.017129,-71.933763
1.014741,0.948122,0.901149,10.050913,-2.136230,-10.375977,-1.708984,-4.012804,-9.094753,-71.474400
1.035148,1.451670,0.553337,9.808422,-0.915527,-1.342773,-9.948730,-3.078397,-8.172378,-71.015037
1.054795,1.265675,0.675297,9.892274,-0.183105,2.136230,-6.835938,-4.012804,-8.172378,-71.015037
1.075057,1.270212,0.386207,9.656582,-0.122070,1.708984,-5.615234,-3.779202,-7.941784,-72.163444
1.095361,1.106899,-0.056463,9.620322,-1.037598,-4.577637,-2.258301,-5.881616,-8.633566,-71.933763
1.115742,1.231652,0.528493,9.788026,-1.342773,-6.408691,0.244141,-4.713608,-7.941784,-70.325992
1.136040,1.236188,0.521718,9.831085,-1.159668,-5.981445,-0.122070,-4.012804,-9.094753,-70.096311
1.155821,1.320113,0.496874,9.817487,-0.183105,-1.525879,-0.061035,-3.545601,-8.633566,-71.933763
1.174493,1.270212,0.519459,9.735902,0.122070,0.427246,-0.122070,-5.881616,-7.250002,-73.311852
1.193848,1.224847,0.514942,9.767630,0.366211,1.403809,-0.061035,-4.480007,-8.172378,-74.230578
1.214041,1.238456,0.501391,9.774428,0.610352,3.479004,-0.061035,-3.545601,-9.094753,-72.393126
1.233823,1.172677,0.557854,9.783493,0.732422,3.784180,-0.305176,-5.414413,-6.788814,-73.771215
1.253555,1.236188,0.537527,9.758564,0.915527,4.821777,-0.427246,-4.947210,-7.711190,-73.771215
1.273087,1.134117,0.564629,9.788026,0.854492,4.089355,-0.061035,-2.377593,-9.325347,-71.704081
1.292931,1.129581,0.499132,9.803890,0.854492,4.272461,-0.183105,-3.545601,-7.711190,-73.311852
1.313165,1.056997,0.571405,9.767630,-0.061035,0.549316,-0.122070,-3.779202,-9.325347,-73.082170
1.333591,1.236188,0.519459,9.826553,0.122070,0.976562,-0.305176,-2.844796,-7.941784,-72.163444
1.353802,1.165873,0.555595,9.819754,0.183105,1.281738,-0.244141,-2.611194,-9.094753,-71.474400
1.373585,1.122776,0.551078,9.810689,-0.061035,0.488281,-0.122070,-1.910390,-8.402972,-72.163444
1.393419,1.168141,0.514942,9.747233,-0.305176,-1.281738,-0.122070,-4.012804,-9.094753,-71.933763
1.413491,1.147727,0.512684,9.715505,-0.671387,-2.502441,0.000000,-6.582420,-8.402972,-71.244718
1.433331,1.190823,0.537527,9.785760,-0.610352,-2.990723,-0.122070,-4.480007,-9.094753,-69.636948
