time_s,ax,ay,az,gx,gy,gz,mx,my,mz
0.001151,1.324649,0.429118,9.887742,-0.305176,-0.305176,-0.061035,20.515357,14.656418,-68.029177
0.018190,1.506108,0.670780,9.776695,-0.061035,-0.183105,-0.183105,18.646545,14.656418,-70.325992
0.034789,1.451670,0.557854,9.930801,0.061035,0.183105,0.061035,21.216162,14.425824,-68.258859
0.051589,1.404037,0.508166,9.733635,-0.183105,0.061035,-0.183105,18.646545,12.811667,-69.866629
0.067730,1.422183,0.465255,9.903606,-0.061035,0.122070,0.061035,18.880147,13.964637,-71.015037
0.084362,1.347332,0.508166,9.828819,-0.244141,0.061035,-0.244141,21.683365,14.887012,-68.718222
0.100949,1.335990,0.508166,9.876411,-0.122070,0.244141,-0.122070,19.347350,10.736322,-71.015037
0.117509,1.392696,0.476547,9.654316,-0.061035,0.122070,-0.122070,20.281756,16.270576,-70.096311
0.133965,1.360941,0.512684,9.783493,-0.122070,-0.061035,-0.122070,20.048154,15.578794,-70.325992
0.150543,1.404037,0.551078,9.767630,-0.122070,0.061035,-0.122070,19.113748,11.428104,-69.407266
0.167498,1.431256,0.533010,9.844683,-0.122070,0.000000,-0.122070,20.748959,14.887012,-68.258859
0.183780,1.347332,0.533010,9.790292,-0.122070,0.061035,-0.061035,20.281756,14.425824,-70.096311
0.200370,1.351868,0.514942,9.810689,-0.061035,-0.183105,0.000000,20.515357,15.578794,-68.947903
0.216966,1.342795,0.526235,9.776695,-0.122070,0.000000,0.000000,20.515357,13.734043,-70.325992
0.233517,1.347332,0.530752,9.765363,-0.122070,-0.122070,0.183105,20.048154,14.656418,-70.325992
0.249964,1.374550,0.490098,9.778961,-0.183105,0.061035,-0.122070,19.113748,13.734043,-68.947903
0.266533,1.372282,0.505908,9.824286,0.061035,0.000000,-0.061035,20.515357,14.656418,-69.407266
0.283480,1.379087,0.499132,9.835618,0.000000,0.000000,-0.122070,21.216162,14.425824,-70.555674
0.300437,1.385892,0.523976,9.817487,0.000000,0.000000,-0.061035,18.646545,16.962357,-70.785355
0.316958,1.374550,0.510425,9.788026,-0.183105,0.122070,-0.122070,19.347350,15.809388,-69.177585
0.333067,1.363209,0.539786,9.817487,-0.183105,-0.061035,-0.061035,20.048154,16.962357,-69.866629
0.349651,1.383623,0.508166,9.760831,-0.122070,-0.061035,0.000000,20.982561,15.117606,-68.488540
